,id,name,address,postal_code,charger_level,lat,lng,cost,gg_address,gg_lat,gg_lng,city,province
1511,CEA-10264,119 | BSR | AC |  10905 rue Basile Routhier : Parc Basile Routhier,"10905A rue Basile Routhier, Montréal, QC",H2C 3H5,Level2,45.557084,-73.671649,"1,00 $ (CAD) de l'heure","10905 Rue Basile Routhier, Montréal, QC H2C 1N7, Canada",45.557458600000004,-73.6725483,Montréal,QC
1517,CEA-10345,503 | BSR | PMR | 3760 St-Hubert,"3760 rue St-Hubert, Montréal, QC",H2L 4A3,Level2,45.520781,-73.570745,"1,00 $ (CAD) de l'heure","3760 Rue St-Hubert, Montréal, QC H2L 4A3, Canada",45.5205726,-73.5708147,Montréal,QC
1518,CEA-10634,482 | BHR | MHM | 3000 Viau : Centre Pierre-Charbonneau - Espace pour la vie,"3000 rue Viau, Montréal, QC",H1V 3J3,Level2,45.5624923698896,-73.54930681343079,"2,50 $ (CAD) par session","3000 Rue Viau, Montréal, QC H1V 3J3, Canada",45.5620422,-73.55005849999999,Montréal,QC
1520,CEA-10965,204 | BSR | VSMPE | 299 Jean-Talon E,"299 rue Jean-Talon E, Montréal, QC",H2R 1S9,Level2,45.536993,-73.615789,"1,00 $ (CAD) de l'heure","299 Rue Jean-Talon Est, Montréal, QC H2R 1S9, Canada",45.537100099999996,-73.61589509999999,Montréal,QC
1522,CEA-10206,RIO - Parc Olympique,"4141 Avenue Pierre-De Coubertin, Montréal, QC",H1V 3N7,Level2,45.5554177287515,-73.5513811997223,"2,50 $ (CAD) par session","4141 Avenue Pierre-De Coubertin, Montréal, QC H1V 3N7, Canada",45.559774,-73.5514832,Montréal,QC
1523,CEA-10560,522 | BSR | PMR | 4490 Fabre,"4490 Rue Fabre, Montréal, QC",H2J 3V3,Level2,45.531321,-73.575622,"1,00 $ (CAD) de l'heure","4490 Rue Fabre, Montréal, QC H2J 3V3, Canada",45.5312697,-73.5756427,Montréal,QC
1528,CEA-10385,206 | BSR | VSMPE | 8106 Casgrain,"8106 Avenue Casgrain , Montréal, QC",H2P 2K5,Level2,45.540098,-73.63096999999999,"1,00 $ (CAD) de l'heure","8106 Avenue Casgrain, Montréal, QC H2P 2K5, Canada",45.540012100000006,-73.63104150000001,Montréal,QC
1531,CEA-10752,717 | BSR | CDN-NDG | 5225 Sherbrooke,"5252 Sherbrooke, Montréal, QC",H4A 1V1,Level2,45.474704,-73.608527,"1,00 $ (CAD) de l'heure","5252 Rue Sherbrooke E, Montréal, QC H1N, Canada",45.568083200000004,-73.5521558,Montréal,QC
1532,CEA-10695,414 | BSR | MHM | 4217 Rue de Rouen,"4217 Rue de Rouen , Montréal, QC",H1V 1G7,Level2,45.552531,-73.544179,"1,00 $ (CAD) de l'heure","4217 Rue de Rouen, Montréal, QC H1V 1G7, Canada",45.552559,-73.54427690000001,Montréal,QC
1533,CEA-10962,514 | BSR | PMR | 5333 Papineau,"5333 Papineau, Montréal, QC",H2H 1W1,Level2,45.537015,-73.583259,"1,00 $ (CAD) de l'heure","5333 Rue Papineau, Montréal, QC H2H 1W1, Canada",45.5369802,-73.5830187,Montréal,QC
1535,CEA-10643,222 | BSR | VSMPE | 3232 Bélanger,"3232 Rue Bélanger, Montréal, QC",H1Y 3H5,Level2,45.556924,-73.59442,"1,00 $ (CAD) de l'heure","3232 Rue Bélanger, Montréal, QC H1Y 3H5, Canada",45.556686,-73.594117,Montréal,QC
1536,CEA-10735,317 | BSR | RPP | 2923 St-Zotique,"2923A St-Zotique, Montréal, QC",H1Y 1E4,Level2,45.553515,-73.592311,"1,00 $ (CAD) de l'heure","2923 Rue Saint-Zotique E, Montréal, QC H1Y 1E4, Canada",45.553624,-73.592665,Montréal,QC
1538,CEA-10506,Fédération autonome de l'enseignement,"8550 boul. Pie-IX, Montréal, QC",H1Z 4G2,Level2,45.575077,-73.61132099999999,"1,00 $ (CAD) de l'heure","8550 Boulevard Pie-IX, Montréal, QC H1Z 4G2, Canada",45.5749732,-73.61137120000001,Montréal,QC
1539,CEA-10835,716 | BSR | CDN-NDG | 6045 Upper Lachine,"6045A Upper Lachine, Montréal, QC",H4A 2C3,Level2,45.465749,-73.614126,"1,00 $ (CAD) de l'heure","6045 Chemin Upper Lachine, Montréal, QC H4A 2C3, Canada",45.4656265,-73.6143908,Montréal,QC
